2098A,Syria Train and Equip Fund,ARMY,01,Syria Train and Equip Fund,27,Defense Forces,010,140,Syria Train and Equip Fund,Y,0,0,0,"250,000",0,"-250,000",0,0,0,"250,000","-250,000",0,U
1804N,"Operation & Maintenance, Navy",NAVY,01,Operating Forces,01,Air Operations,010,1A1A,Mission and Other Flight Operations,Y,"4,094,765","407,504","4,502,269","860,621","66,831",0,"927,452","-66,831","860,621","4,955,386","407,504","5,362,890",U
1804N,"Operation & Maintenance, Navy",NAVY,01,Operating Forces,01,Air Operations,020,1A2A,Fleet Air Training,Y,"1,722,473","128,837","1,851,310",0,0,0,0,0,0,"1,722,473","128,837","1,851,310",U
1804N,"Operation & Maintenance, Navy",NAVY,01,Operating Forces,01,Air Operations,030,1A3A,Aviation Technical Data & Engineering Services,Y,"52,670",132,"52,802",0,0,0,0,0,0,"52,670",132,"52,802",U
1804N,"Operation & Maintenance, Navy",NAVY,01,Operating Forces,01,Air Operations,040,1A4A,Air Operations and Safety Support,Y,"97,584",0,"97,584","4,603",0,0,"4,603",0,"4,603","102,187",0,"102,187",U
1804N,"Operation & Maintenance, Navy",NAVY,01,Operating Forces,01,Air Operations,050,1A4N,Air Systems Support,Y,"446,733","53,198","499,931","159,049",0,0,"159,049",0,"159,049","605,782","53,198","658,980",U
1804N,"Operation & Maintenance, Navy",NAVY,01,Operating Forces,01,Air Operations,060,1A5A,Aircraft Depot Maintenance,Y,"1,007,681","34,528","1,042,209","113,994",0,0,"113,994",0,"113,994","1,121,675","34,528","1,156,203",U
1804N,"Operation & Maintenance, Navy",NAVY,01,Operating Forces,01,Air Operations,070,1A6A,Aircraft Depot Operations Support,Y,"38,248","1,775","40,023","1,840",0,0,"1,840",0,"1,840","40,088","1,775","41,863",U
1804N,"Operation & Maintenance, Navy",NAVY,01,Operating Forces,01,Air Operations,080,1A9A,Aviation Logistics,Y,"564,720","61,000","625,720","35,529",0,0,"35,529",0,"35,529","600,249","61,000","661,249",U
1804N,"Operation & Maintenance, Navy",NAVY,01,Operating Forces,02,Ship Operations,090,1B1B,Mission and Other Ship Operations,Y,"3,513,083","383,050","3,896,133","1,073,080",0,0,"1,073,080",0,"1,073,080","4,586,163","383,050","4,969,213",U
1804N,"Operation & Maintenance, Navy",NAVY,01,Operating Forces,02,Ship Operations,100,1B2B,Ship Operations Support & Training,Y,"743,765",576,"744,341","17,306",0,0,"17,306",0,"17,306","761,071",576,"761,647",U
1804N,"Operation & Maintenance, Navy",NAVY,01,Operating Forces,02,Ship Operations,110,1B4B,Ship Depot Maintenance,Y,"5,168,273","687,459","5,855,732","2,903,431",0,0,"2,903,431",0,"2,903,431","8,071,704","687,459","8,759,163",U
1804N,"Operation & Maintenance, Navy",NAVY,01,Operating Forces,02,Ship Operations,120,1B5B,Ship Depot Operations Support,Y,"1,575,578","7,356","1,582,934",0,0,0,0,0,0,"1,575,578","7,356","1,582,934",U
1804N,"Operation & Maintenance, Navy",NAVY,01,Operating Forces,1C,Combat Operations/Support,130,1C1C,Combat Communications and Electronic Warfare,Y,"558,727","34,440","593,167","21,257",0,"4,069","25,326",0,"25,326","579,984","38,509","618,493",U
1804N,"Operation & Maintenance, Navy",NAVY,01,Operating Forces,1C,Combat Operations/Support,140,1C2C,Electronic Warfare,Y,"105,680",6,"105,686",0,0,0,0,0,0,"105,680",6,"105,686",U
1804N,"Operation & Maintenance, Navy",NAVY,01,Operating Forces,1C,Combat Operations/Support,150,1C3C,Space Systems and Surveillance,Y,"180,406","4,730","185,136",0,0,0,0,0,0,"180,406","4,730","185,136",U
1804N,"Operation & Maintenance, Navy",NAVY,01,Operating Forces,1C,Combat Operations/Support,160,1C4C,Warfare Tactics,Y,"470,032","30,155","500,187","22,603",0,0,"22,603",0,"22,603","492,635","30,155","522,790",U
1804N,"Operation & Maintenance, Navy",NAVY,01,Operating Forces,1C,Combat Operations/Support,170,1C5C,Operational Meteorology and Oceanography,Y,"346,703","15,276","361,979","22,934",0,0,"22,934",0,"22,934","369,637","15,276","384,913",U
