2040A,"Research, Development, Test & Eval, Army",ARMY,05,System Development & Demonstration,93  ,0604798A,"Brigade Analysis, Integration and Evaluation",Y,"89,716","56,939","146,655",0,0,0,0,0,0,"89,716","56,939","146,655",U
2040A,"Research, Development, Test & Eval, Army",ARMY,05,System Development & Demonstration,94  ,0604802A,Weapons and Munitions - Eng Dev,Y,"80,365","18,800","99,165",0,0,0,0,0,0,"80,365","18,800","99,165",U
2040A,"Research, Development, Test & Eval, Army",ARMY,05,System Development & Demonstration,95  ,0604804A,Logistics and Engineer Equipment - Eng Dev,Y,"75,098",0,"75,098",0,0,0,0,0,0,"75,098",0,"75,098",U
2040A,"Research, Development, Test & Eval, Army",ARMY,05,System Development & Demonstration,96  ,0604805A,"Command, Control, Communications Systems - Eng Dev",Y,"4,245",0,"4,245",0,0,0,0,0,0,"4,245",0,"4,245",U
2040A,"Research, Development, Test & Eval, Army",ARMY,05,System Development & Demonstration,97  ,0604807A,Medical Materiel/Medical Biological Defense Equipment - Eng Dev,Y,"41,124",0,"41,124",0,0,0,0,0,0,"41,124",0,"41,124",U
2040A,"Research, Development, Test & Eval, Army",ARMY,05,System Development & Demonstration,98  ,0604808A,Landmine Warfare/Barrier - Eng Dev,Y,"39,630",0,"39,630",0,0,0,0,0,0,"39,630",0,"39,630",U
2040A,"Research, Development, Test & Eval, Army",ARMY,05,System Development & Demonstration,99  ,0604818A,Army Tactical Command & Control Hardware & Software,Y,"205,590",0,"205,590",0,0,0,0,0,0,"205,590",0,"205,590",U
2040A,"Research, Development, Test & Eval, Army",ARMY,05,System Development & Demonstration,100 ,0604820A,Radar Development,Y,"15,983",0,"15,983",0,0,0,0,0,0,"15,983",0,"15,983",U
2040A,"Research, Development, Test & Eval, Army",ARMY,05,System Development & Demonstration,101 ,0604822A,General Fund Enterprise Business System (GFEBS),Y,"6,805",0,"6,805",0,0,0,0,0,0,"6,805",0,"6,805",U
2040A,"Research, Development, Test & Eval, Army",ARMY,05,System Development & Demonstration,102 ,0604823A,Firefinder,Y,"9,235",0,"9,235",0,0,0,0,0,0,"9,235",0,"9,235",U
2040A,"Research, Development, Test & Eval, Army",ARMY,05,System Development & Demonstration,103 ,0604827A,Soldier Systems - Warrior Dem/Val,Y,"12,393",0,"12,393",0,0,0,0,0,0,"12,393",0,"12,393",U
2040A,"Research, Development, Test & Eval, Army",ARMY,05,System Development & Demonstration,104 ,0604854A,Artillery Systems - EMD,Y,"1,756","2,750","4,506",0,0,0,0,0,0,"1,756","2,750","4,506",U
2040A,"Research, Development, Test & Eval, Army",ARMY,05,System Development & Demonstration,105 ,0605013A,Information Technology Development,Y,"74,236",0,"74,236",0,0,0,0,0,0,"74,236",0,"74,236",U
2040A,"Research, Development, Test & Eval, Army",ARMY,05,System Development & Demonstration,106 ,0605018A,Integrated Personnel and Pay System-Army (IPPS-A),Y,"155,584",0,"155,584",0,0,0,0,0,0,"155,584",0,"155,584",U
2040A,"Research, Development, Test & Eval, Army",ARMY,05,System Development & Demonstration,107 ,0605028A,Armored Multi-Purpose Vehicle (AMPV),Y,"184,221",0,"184,221",0,0,0,0,0,0,"184,221",0,"184,221",U
2040A,"Research, Development, Test & Eval, Army",ARMY,05,System Development & Demonstration,108 ,0605029A,Integrated Ground Security Surveillance Response Capability (IGSSR-C),Y,"4,980",0,"4,980",0,0,0,0,0,0,"4,980",0,"4,980",U
2040A,"Research, Development, Test & Eval, Army",ARMY,05,System Development & Demonstration,109 ,0605030A,Joint Tactical Network Center (JTNC),Y,"15,041",0,"15,041",0,0,0,0,0,0,"15,041",0,"15,041",U
2040A,"Research, Development, Test & Eval, Army",ARMY,05,System Development & Demonstration,110 ,0605031A,Joint Tactical Network (JTN),Y,"16,014",0,"16,014",0,0,0,0,0,0,"16,014",0,"16,014",U
2040A,"Research, Development, Test & Eval, Army",ARMY,05,System Development & Demonstration,111 ,0605032A,TRACTOR TIRE,Y,"27,254",0,"27,254",0,"10,000",0,"10,000",0,"10,000","37,254",0,"37,254",U
2040A,"Research, Development, Test & Eval, Army",ARMY,05,System Development & Demonstration,112 ,0605033A,Ground-Based Operational Surveillance System - Expeditionary (GBOSS-E),Y,"5,032",0,"5,032",0,0,0,0,0,0,"5,032",0,"5,032",U
2040A,"Research, Development, Test & Eval, Army",ARMY,05,System Development & Demonstration,113 ,0605034A,Tactical Security System (TSS),Y,"2,904",0,"2,904",0,0,0,0,0,0,"2,904",0,"2,904",U
2040A,"Research, Development, Test & Eval, Army",ARMY,05,System Development & Demonstration,114 ,0605035A,Common Infrared Countermeasures (CIRCM),Y,"96,977",0,"96,977","10,900",0,0,"10,900",0,"10,900","107,877",0,"107,877",U
2040A,"Research, Development, Test & Eval, Army",ARMY,05,System Development & Demonstration,115 ,0605036A,Combating Weapons of Mass Destruction (CWMD),Y,"2,089",0,"2,089",0,0,0,0,0,0,"2,089",0,"2,089",U
2040A,"Research, Development, Test & Eval, Army",ARMY,05,System Development & Demonstration,116 ,0605041A,Defensive CYBER Tool Development,Y,"33,836",0,"33,836",0,"50,500",0,"50,500",0,"50,500","84,336",0,"84,336",U
2040A,"Research, Development, Test & Eval, Army",ARMY,05,System Development & Demonstration,117 ,0605042A,Tactical Network Radio Systems (Low-Tier),Y,"18,824",0,"18,824",0,0,0,0,0,0,"18,824",0,"18,824",U
2040A,"Research, Development, Test & Eval, Army",ARMY,05,System Development & Demonstration,118 ,0605047A,Contract Writing System,Y,"20,663",0,"20,663",0,0,0,0,0,0,"20,663",0,"20,663",U
2040A,"Research, Development, Test & Eval, Army",ARMY,05,System Development & Demonstration,119 ,0605051A,Aircraft Survivability Development,Y,"41,133","10,000","51,133","73,110",0,0,"73,110",0,"73,110","114,243","10,000","124,243",U
2040A,"Research, Development, Test & Eval, Army",ARMY,05,System Development & Demonstration,120 ,0605052A,Indirect Fire Protection Capability Inc 2 - Block 1,Y,"83,995",0,"83,995",0,0,0,0,0,0,"83,995",0,"83,995",U
2040A,"Research, Development, Test & Eval, Army",ARMY,05,System Development & Demonstration,121 ,0605380A,AMF Joint Tactical Radio System (JTRS),Y,"5,028",0,"5,028",0,0,0,0,0,0,"5,028",0,"5,028",U
2040A,"Research, Development, Test & Eval, Army",ARMY,05,System Development & Demonstration,122 ,0605450A,Joint Air-to-Ground Missile (JAGM),Y,"42,972",0,"42,972",0,0,0,0,0,0,"42,972",0,"42,972",U
